part_number,material,material_family,special_type,complexity_score,specialized_tool,tolerances,price,length,width,height,diagonal,part_volume,part_surface_area,estimated_stock_volume,estimated_part_to_stock_volume_ratio,quantity,n_holes,n_slots,estimated_machining_time,setup_count,tool_changes_count
020-01112,304 SST,Stainless Steel,No,5,No,0.25,475,1039.304,339.217,9.525,1093.3031158512263,35131.98,79085.31,3358036.48,0.010462,1,4,0,1.18816,3,4
020-01114,304 SST,Stainless Steel,No,5,No,0.25,550,1866.133,104.775,9.525,1869.0962789377652,45550.39,102523.8,1862366.6,0.024458,1,3,0,1.52146,3,4
030-00417,304 SST,Stainless Steel,No,5,No,0.25,485,844.55,403.86,57.15,937.8879062020152,1143263.56,684803.81,19492719.89,0.058651,1,4,6,0.28626,1,2
030-00418,304 SST,Stainless Steel,No,4,No,0.25,545,762.0,584.2,105.466,965.9486099974471,642074.68,1056998.73,46949233.36,0.013676,1,1,0,0.3304,3,3
030-00420,ALUM 5052-H32,Aluminum,No,3,No,0.25,250,207.264,38.1,19.05,211.59602594566846,6804.9,17464.13,150433.25,0.045235,1,3,0,0.05007,2,4
015-00356,STEEL,Carbon Steel,No,4,No,0.13,950,508.0,508.0,206.832,747.6011478214838,2047782.13,1896973.58,53375944.93,0.038365,1,29,0,0.28675,4,17
1000005051,ALUM 6061-T6,Aluminum,No,4,No,0.13,375,60.0,50.0,25.0,82.00609733428362,66572.4,11912.52,75000.0,0.887632,1,0,0,0.05075,1,4
1000005050,ALUM 6061-T6,Aluminum,No,4,No,0.13,125,30.48,30.48,11.278,44.556190187223145,2977.52,2316.45,10477.23,0.28419,1,0,0,0.02595,1,1
1038812,PEEK,Plastic,No,6,No,0.13,5280,609.6,609.6,24.892,862.4638726717775,4022075.36,662558.94,9250169.89,0.434811,1,15,0,0.59171,3,13
1038814,304 SST,Stainless Steel,No,6,No,0.13,3100,717.55,609.6,226.073,968.2970431788997,470557.25,931639.91,98888376.92,0.004758,1,4,0,3.95601,3,3
1038819,304 SST,Stainless Steel,No,6,No,0.13,3800,584.2,584.2,114.3,834.052618244197,1906428.52,678809.91,39009405.85,0.048871,1,20,0,0.44113,3,14
1038820,PEEK,Plastic,No,5,No,0.13,510,78.232,78.232,20.066,112.44170046739777,58263.81,18064.73,122808.85,0.474427,1,8,0,0.06395,1,9
1038944,ALUM 6061-T6,Aluminum,No,6,No,0.13,3980,508.0,508.0,15.875,718.5958639075235,1926052.52,347145.45,4096766.0,0.47014,1,57,1,0.42045,3,11
666258,ALUM 6061-T6,Aluminum,No,7,No,0.13,1675,275.5,270.5,31,387.3389988111189,411269.08857553813,207181.95714208638,2310205.250001312,0.17802274866066753,20,43,3,0.13525,2,14
665058,ALUM 6061-T6,Aluminum,No,7,No,0.13,1880,270.50000009999997,268.00000009999997,31.000000655373377,382.04090114584994,334647.0062062557,143679.85743395062,2247314.049179987,0.14890976467145908,10,50,5,0.62414,2,19
665059,ALUM 6061-T6,Aluminum,No,6,No,0.13,1880,270.5,268.0,31.0000001,382.0409009598318,332751.44429326954,143492.04975760487,2247314.0072494,0.14806628856487244,6,50,5,0.62339,2,19
665068,ALUM 5052-H32,Aluminum,No,3,No,0.25,105,208.7573593129,88.6,1.2000000000000934,226.78411555330598,14376.150258688627,25062.121346075335,22195.082442149258,0.6477178129957203,10,7,0,0.09052,1,3
665069,304 SST,Stainless Steel,No,4,No,0.25,120,240.0,129.2289321881,0.8000000000000058,272.581651830193,9312.081459028705,24001.18146430321,24811.95498011538,0.37530623711398503,20,8,0,0.55578,1,6
0023-45417,304 SST,Stainless Steel,No,5,No,0.38,270,138.9380000001176,49.784000100000156,31.75,150.96448923501677,12403.971924584635,17333.251093904997,219611.23863731473,0.056481498859307665,4,0,4,0.04838,1,3
670754,ALUM 6061-T6,Aluminum,No,7,No,0.13,2950,1045.7432229371802,365.0,52.800000100000005,1108.869572280528,3668518.870565334,1180947.000666852,20153563.430614967,0.18202829902490314,1,202,16,0.49122,4,19
